"datacamp_id","academic_year","location","intern_status","intern_work_site","work_site_zip","organization","industry","total_hours_worked","dob","mailing_zip","median_household_income","labor_force_participation","unemployment_rate","ssi","cash_assistance","snap","all_families_below_poverty","educational_attainment_ba","female_headed_households","race","gender","high_school","title_i_school","frl","graduation_rate_of_hs","college_enrollment_of_hs","hs_zip_code","nsc_data_available","first_year_college_enrollment","first_year_college_type","first_year_college_state","student_quote"
"UADC1096","2014 - 2015","DC - Year Round High School Program","Active","Clark Construction Group, LLC Accounts Payable 2014-2015","20814","Clark Construction Group, LLC","Real Estate",251,"1996-02-21","20019",34832,0.595,0.136,0.115,0.103,0.324,0.264,0.134,0.188,"Black","F","Washington Mathematics Science Technology Public Charter High School (WMST)",1,1,0.91,NA,"20002",0,NA,NA,NA,""
"UADC1281","2014 - 2015","NCR","Active","Patent and Trade Office NCR 2014-2015","22314","Patent and Trade Office","Government",162,"1997-02-15","22304",76061,0.788,0.045,0.022,0.017,0.048,0.046,0.586,0.049,"Hispanic/Latino","F","TC Williams",0,0.63,0.843,NA,"22302",0,NA,NA,NA,""
"UADC1129","2014 - 2015","Baltimore - YAIP","Alumni","ECSM BAL YAIP 2014-2015","21213","Episcopal Community Services of Maryland","Non-profit",55,"1993-11-15","21215",34471,0.555,0.102,0.123,0.064,0.268,0.223,0.171,0.118,"Black","F","",NA,NA,NA,NA,NA,0,NA,NA,NA,""
"UADC1254","2014 - 2015","DC - Year Round High School Program","Active","Office of Personnel Management - Retirement Services 2014-2015","20240","Office of Personnel Management","Government",129,"1997-10-18","20020",34685,0.561,0.115,0.113,0.124,0.348,0.317,0.16,0.203,"Black","M","Ballou Senior High School",1,0.998,0.5,NA,"20032",0,NA,NA,NA,""
"UADC1007","2014 - 2015","NCR","Active","Alexandria City Attorney's Office NCR 2014-2015","22314","Alexandria City Attorney's Office","Government",103,"1997-06-11","22312",76845,0.757,0.037,0.013,0.016,0.056,0.091,0.435,0.044,"Black","F","TC Williams",0,0.63,0.843,NA,"22302",0,NA,NA,NA,""
"UADC1242","2014 - 2015","NCR","Terminated Student","Northern Virginia Legal Services NCR 2014-2015","22314","Northern Virginia Legal Services","Legal & Professional Services",36,"1996-09-21","22311",66319,0.783,0.04,0.008,0.008,0.062,0.088,0.462,0.065,"Hispanic/Latino","M","TC Williams",0,0.63,0.843,NA,"22302",0,NA,NA,NA,""
"UADC1197","2014 - 2015","Baltimore","Active","Marriott BAL Waterfront 2014-2015","20817","Marriott","Hospitality",198,"1997-01-07","21215",34471,0.555,0.102,0.123,0.064,0.268,0.223,0.171,0.118,"Black","F","National Academy Foundation",1,0.843,0.7684,0.596,"21205",0,NA,NA,NA,""
"UADC1277","2014 - 2015","NCR","Active","Patent and Trade Office NCR 2014-2015","22314","Patent and Trade Office","Government",96,"1996-12-12","22304",76061,0.788,0.045,0.022,0.017,0.048,0.046,0.586,0.049,"Multiracial","F","TC Williams",0,0.63,0.843,NA,"22302",0,NA,NA,NA,""
"UADC1227","2014 - 2015","Chicago","Active","Northern Trust 231 S LaSalle CHI 2014-2015","60603","Northern Trust","Financial Services",307,"1997-10-18","60653",24968,0.616,0.153,0.123,0.044,0.363,0.359,0.265,0.203,"Black","F","Kenwood Academy High School",0,0.723,0.91,0.82,"60615",0,NA,NA,NA,""
"UADC1264","2014 - 2015","NCR","Active","Patent and Trade Office NCR 2014-2015","22314","Patent and Trade Office","Government",110,"1997-08-18","22312",76845,0.757,0.037,0.013,0.016,0.056,0.091,0.435,0.044,"White","F","TC Williams",0,0.63,0.843,NA,"22302",0,NA,NA,NA,""
"UADC1019","2014 - 2015","Baltimore - YAIP","Terminated Student","ARC Baltimore BAL YAIP 2014-2015","21215","ARC Baltimore","Non-profit",47,"1995-01-06","21218",38261,0.591,0.074,0.085,0.059,0.234,0.163,0.317,0.095,"Black","F","",NA,NA,NA,NA,NA,0,NA,NA,NA,""
"UADC1146","2014 - 2015","Chicago","Active","Greater Chicago Food Depository-Pritzker Pucker-CHI 2014-2015","60632","Greater Chicago Food Depository","Non-profit",213,"1997-06-16","60623",28949,0.579,0.108,0.094,0.103,0.394,0.367,0.07,0.176,"Hispanic/Latino","F","Farragut Career Academy",1,0.969,0.78,0.43,"60623",0,NA,NA,NA,""
"UADC1274","2014 - 2015","NCR","Active","Patent and Trade Office NCR 2014-2015","22314","Patent and Trade Office","Government",87,"1996-08-14","22311",66319,0.783,0.04,0.008,0.008,0.062,0.088,0.462,0.065,"","M","TC Williams",0,0.63,0.843,NA,"22302",0,NA,NA,NA,""
"UADC1187","2014 - 2015","Baltimore","Active","M&T Bank BAL 2014- 2015","21201","M&T Bank","Financial Services",232,"1997-11-04","21215",34471,0.555,0.102,0.123,0.064,0.268,0.223,0.171,0.118,"Black","F","Northwestern High School",0,0.777,0.6049,0.346,"21215",0,NA,NA,NA,""
"UADC1034","2014 - 2015","DC - Year Round High School Program","Active","Atlantic Media Company DC 2014-2015","20037","Atlantic Media Company","Media & Entertainment",254,"1995-11-27","20011",54488,0.691,0.089,0.042,0.024,0.129,0.119,0.346,0.081,"Black","M","Columbia Heights Educational Campus (CHEC/Bell)",0,0.794629,0.84,NA,"20010",0,NA,NA,NA,""
"UADC1224","2014 - 2015","Chicago","Active","Northern Trust 801 S Canal CHI 2014-2015","60603","Northern Trust","Financial Services",240,"1996-06-22","60653",24968,0.616,0.153,0.123,0.044,0.363,0.359,0.265,0.203,"Black","F","Kenwood Academy High School",0,0.723,0.91,0.82,"60615",0,NA,NA,NA,""
"UADC1244","2014 - 2015","Chicago","Terminated Student","Nuveen CHI 2014-2015","60606","Nuveen","Financial Services",116,"1995-09-17","60634",55767,0.68,0.081,0.036,0.016,0.09,0.088,0.201,0.053,"Asian","F","Steinmetz College Prep",1,0.926,0.89,0.53,"60634",0,NA,NA,NA,""
"UADC1192","2014 - 2015","DC - Year Round High School Program","Active","Marriott DC Ritz Pentagon City 2014-2015","20817","Marriott","Hospitality",131,"1997-04-20","20002",65000,0.719,0.095,0.084,0.048,0.181,0.163,0.477,0.084,"Black","F","McKinley Technology High School",1,0.553412,0.95,NA,"20002",0,NA,NA,NA,""
"UADC1028","2014 - 2015","NCR","Active","Arlington Economic Development NCR 2014-2015","22201","Arlington Economic Development","Government",169,"1996-08-16","22204",76052,0.803,0.046,0.022,0.011,0.07,0.127,0.53,0.064,"Hispanic/Latino","F","Wakefield High School",0,0.4551,0.894,NA,"22206",0,NA,NA,NA,""
"UADC1211","2014 - 2015","Baltimore","Active","Morgan Stanley BAL 2014-2015","10036","Morgan Stanley","Financial Services",160,"1997-07-25","21225",37487,0.64,0.109,0.097,0.118,0.309,0.235,0.085,0.167,"Black","F","Augusta Fells Savage Institute of Visual Arts High School",1,0.917,0.619,0.232,"21217",0,NA,NA,NA,""
"UADC1170","2014 - 2015","Chicago","Active","JP Morgan Chase Securities LLC CHI 2014-2015","60603","JP Morgan Chase & Co.","Financial Services",172,"1997-02-01","60643",61799,0.596,0.09,0.048,0.032,0.162,0.112,0.337,0.093,"Black","M","Kenwood Academy High School",0,0.723,0.91,0.82,"60615",0,NA,NA,NA,""
